date,ambientTemp,outdoorTemp,bearTemp1T1,bearTemp2T1,bearTemp3T1,bearTemp1T2,bearTemp2T2,bearTemp3T2,rainfall,T1Power,T2Power
1/1/2022,29.46,29.23,40.79,34.7,35.28,41.25,38.15,38.36,1.5,0,0
1/2/2022,29.46,29.23,40.79,34.7,35.28,41.25,38.15,38.36,1.84,0,0
1/3/2022,29.46,29.23,40.79,34.7,35.28,41.25,38.15,38.36,0.49,0,0
1/4/2022,29.46,29.23,40.79,34.7,35.28,41.25,38.15,38.36,1.22,0,0
1/5/2022,29.46,29.23,40.79,34.7,35.28,41.25,38.15,38.36,0.14,0,0
1/6/2022,29.46,29.23,40.79,34.7,35.28,41.25,38.15,38.36,0.23,0,0
1/7/2022,29.46,29.23,40.79,34.7,35.28,41.25,38.15,38.36,0.38,0,0
1/8/2022,29.46,29.23,40.79,34.7,35.28,41.25,38.15,38.36,0.14,0,0
1/9/2022,29.46,29.23,40.79,34.7,35.28,41.25,38.15,38.36,0.41,0,0
1/10/2022,29.46,29.23,40.79,34.7,35.28,41.25,38.15,38.36,0.15,0,0
1/11/2022,29.46,29.23,40.79,34.7,35.28,41.25,38.15,38.36,0.04,0,0
1/12/2022,29.46,29.23,40.79,34.7,35.28,41.25,38.15,38.36,0.14,0,0
1/13/2022,29.46,29.23,40.79,34.7,35.28,41.25,38.15,38.36,0,0,0
1/14/2022,29.46,29.23,40.79,34.7,35.28,41.25,38.15,38.36,0.04,0,0
1/15/2022,29.46,29.23,40.79,34.7,35.28,41.25,38.15,38.36,0.04,0,0
1/16/2022,29.46,29.23,40.79,34.7,35.28,41.25,38.15,38.36,0.22,0,0
1/17/2022,29.46,29.23,40.79,34.7,35.28,41.25,38.15,38.36,1.31,0,0
1/18/2022,29.46,29.23,40.79,34.7,35.28,41.25,38.15,38.36,0.12,0,0
1/19/2022,28.78,30.56,35.44,31.93,31.83,35.04,30.53,30.73,0.09,0,0
1/20/2022,29.27,30.66,43.4,41.93,41.91,39.9,31.87,32.07,0.05,0,0
1/21/2022,29.26,30.37,42.31,38.12,38.43,41.57,35.25,34.75,0.07,0,0
1/22/2022,30.94,35.44,43.38,40.3,40.47,43.28,39.98,40.27,0.04,0,0
1/23/2022,30.94,35.44,43.38,40.3,40.47,43.28,39.98,40.27,0.93,0,0
1/24/2022,28.86,30.74,35.73,32.02,32.26,34.94,30.76,31.06,1.36,0,0
1/25/2022,28.53,30.19,38.46,32.84,33.11,37.45,30.43,30.73,0.51,0,0
1/26/2022,28.54,27.95,39.28,33.67,33.95,38.45,31.44,31.74,0.05,0,0
1/27/2022,28.54,27.95,39.28,33.67,33.95,38.45,31.44,31.74,0.84,0,0
